LOC01|Main Gate|Entry/Exit|Security Post|Ground|Primary entry and exit portal of the university campus with 24/7 security.|Admin Block, Main Bus Stop|24/7|80|310|gate,main gate,entry,exit
LOC02|Admin Block|Building|Admin Block|Ground - 3rd|Administrative headquarters housing Vice Chancellor Office, Admissions, Registrar, and Accounts.|Main Gate, Academic Block A|9:00 AM - 5:00 PM|120|200|admin,admin block,administration,office
LOC03|Academic Block A|Building|Academic Block A|Ground - 4th|Houses Computer Science, IT, and Electronics Departments, Faculty cabins, and seminar halls.|Admin Block, Library, Academic Block B|8:30 AM - 6:00 PM|260|200|block a,academic a,acad a,cse building
LOC04|Academic Block B|Building|Academic Block B|Ground - 4th|Houses Mechanical and Civil Engineering Departments, drawing halls, and robotics labs.|Academic Block A, Sports Complex|8:30 AM - 6:00 PM|390|200|block b,academic b,acad b,mech building
LOC05|Library|Building|Central Library|Ground - 2nd|Three-floor central library with over 50,000 books, digital archives, and quiet study rooms.|Academic Block A, AI Lab|8:00 AM - 8:00 PM|260|100|lib,library,central library,books,study room
LOC06|Auditorium|Facility|Auditorium Hall|Ground|Grand university auditorium with 1,200 seating capacity for fests, seminars, and convocations.|Admin Block, Library|9:00 AM - 7:00 PM|130|100|audi,auditorium,hall,events
LOC07|Computer Science|Department|Academic Block A|2nd Floor|Department of Computer Science and Engineering with advanced research labs and faculty offices.|Programming Lab, AI Lab|8:30 AM - 5:30 PM|260|170|cse,cs,computer science,computer science department
LOC08|Information Technology|Department|Academic Block A|3rd Floor|Department of Information Technology specializing in Cloud Computing, Cybersecurity, and Software Engineering.|Networking Lab, CSE Dept|8:30 AM - 5:30 PM|260|230|it,info tech,information technology
LOC09|Mechanical Engineering|Department|Academic Block B|1st Floor|Department of Mechanical Engineering with workshops, thermodynamics, and CAD/CAM labs.|Civil Dept, Workshop|8:30 AM - 5:30 PM|390|170|mech,mechanical,mechanical engineering
LOC10|Civil Engineering|Department|Academic Block B|2nd Floor|Department of Civil Engineering with structural analysis and surveying labs.|Mechanical Dept|8:30 AM - 5:30 PM|390|230|civil,civil engineering,structures
LOC11|Electronics|Department|Academic Block A|1st Floor|Department of Electronics and Communication Engineering with VLSI and Embedded Systems labs.|Electronics Lab|8:30 AM - 5:30 PM|220|200|ece,electronics,ece department
LOC12|Programming Lab|Laboratory|Academic Block A|Room 201 (2nd Floor)|Equipped with 100+ high-end workstations for Java, Python, C++, and Data Structures practicals.|CSE Dept, AI Lab|9:00 AM - 5:00 PM|290|170|prog lab,programming lab,coding lab,lab 1
LOC13|Networking Lab|Laboratory|Academic Block A|Room 301 (3rd Floor)|Cisco certified networking lab with routers, switches, and network simulation testbeds.|IT Dept|9:00 AM - 5:00 PM|290|230|net lab,networking lab,network lab,lab 2
LOC14|AI Lab|Laboratory|Academic Block A|Room 205 (2nd Floor)|State-of-the-art lab with GPU clusters for Machine Learning, Deep Learning, and Robotics research.|CSE Dept, Library|9:00 AM - 5:00 PM|330|100|ai,ai lab,machine learning lab,ml lab
LOC15|Electronics Lab|Laboratory|Academic Block A|Room 105 (1st Floor)|Digital circuits, microprocessors, and communication hardware testing facility.|ECE Dept|9:00 AM - 5:00 PM|190|200|ec lab,electronics lab,hardware lab
LOC16|Boys Hostel A|Hostel|Hostel Complex|Ground - 4th|Residential facility for 1st and 2nd year male undergraduate students with mess and recreation hall.|Boys Hostel B, Hostel Bus Stop|24/7 (Curfew 9:30 PM)|500|90|hostel,boys hostel,boys hostel a,bha
LOC17|Boys Hostel B|Hostel|Hostel Complex|Ground - 4th|Residential facility for senior male students and postgraduate scholars.|Boys Hostel A, Sports Complex|24/7 (Curfew 9:30 PM)|500|140|boys hostel b,bhb
LOC18|Girls Hostel|Hostel|Hostel Complex|Ground - 4th|Dedicated residential hostel for female students with 24-hour warden and biometric access.|Guest House, Sports Complex|24/7 (Curfew 8:30 PM)|500|190|girls hostel,gh,ladies hostel
LOC19|Guest House|Hostel|Guest House|Ground - 1st|Accommodation for visiting professors, VIP guests, and parents with dining facility.|Girls Hostel|24/7|500|240|guest house,visiting faculty
LOC20|Sports Complex|Facility|Sports Complex|Ground|Includes Football Ground, Cricket Pitch, Basketball Court, Gymnasium, and Indoor Badminton Courts.|Academic Block B, Hostels|6:00 AM - 8:00 PM|420|310|sports,sports complex,gym,ground,stadium
LOC21|Main Bus Stop|Bus Stop|Main Gate|Ground|Bus pickup and drop point connecting to Railway Station, Downtown, and Airport routes.|Main Gate|6:30 AM - 9:00 PM|80|260|bus,bus stop,main bus stop,city bus
LOC22|Library Bus Stop|Bus Stop|Near Library|Ground|Transit point serving Central Library, Academic Block A, and Seminar Halls.|Library, Academic Block A|7:00 AM - 8:00 PM|210|100|library stop,library bus stop
LOC23|Hostel Bus Stop|Bus Stop|Near Hostels|Ground|Transit shelter serving Boys & Girls Hostel Complex and Sports Complex.|Boys Hostel A, Sports Complex|7:00 AM - 8:30 PM|500|280|hostel stop,hostel bus stop
